League,Team,Season,KEY,Player,Position,Appearances,Goals,Started,Started As A Sub,Came On,Taken Off,Own Goals,Type Of Goal,First Half,Second Half,First Scorer,Last Scorer,Home,Away,Right Foot,Left Foot,Header,Other Method,Open Play,Cross,Free Kick,Direct Free Kick,Throw In,Penalty,Corner,Other Type Of Play,Minutes played,Min/goal,Assists,% Assists,Leading Recipient,Recipient Goals,CS,% Clean Sheets,Hat Tricks,Yellow Cards,Yellow - First Half,Yellow - Second Half,Yellow - Home,Yellow - Away,Yelow - Minutes Played,Minutes per Yellow Cards,Sent Off,Straight Red Card,Two Yellow Cards,Red - First Half,Red - Second Half,Red - Home,Red - Away,Red - Minutes Played,Minutes per Red Cards
Premier League,Arsenal,2017/18,Premier League|Arsenal|2017/18,Hector Bellerin,Defender,35,2,34,1,1,1,0,Player,-,2,1,1,1,1,2,-,-,-,2,-,-,-,-,-,-,-,,,,,,,,,,5,-,5,2,3,3051,610.2,,,,,,,,,
Premier League,Arsenal,2017/18,Premier League|Arsenal|2017/18,Petr Cech,Goalkeeper,34,0,34,1,0,1,0,Player,,,,,,,,,,,,,,,,,,,,,,,,,11,0.3235,,1,-,1,-,1,3040,3040,,,,,,,,,
Premier League,Arsenal,2017/18,Premier League|Arsenal|2017/18,Alexandre Lacazette,Forward,32,14,26,7,6,16,0,Player,7,7,4,3,11,3,10,2,2,-,9,2,1,-,-,2,-,-,2213,158,,,,,,,,1,-,1,-,1,2213,2213,,,,,,,,,
Premier League,Arsenal,2017/18,Premier League|Arsenal|2017/18,Alexis Sanchez,Forward,31,9,29,3,2,11,0,Player,,,,,,,7,1,1,-,5,2,-,-,-,1,1,-,,,,,,,,,,,,,,,,,,,,,,,,,
Premier League,Arsenal,2017/18,Premier League|Arsenal|2017/18,Olivier Giroud,Forward,29,7,7,24,22,4,0,Player,,,,,,,-,3,4,-,3,3,-,-,-,-,1,-,,,,,,,,,,,,,,,,,,,,,,,,,
Premier League,Arsenal,2017/18,Premier League|Arsenal|2017/18,Nacho Monreal,Defender,28,5,26,4,2,3,0,Player,4,1,4,-,3,2,1,3,1,-,1,1,-,1,-,-,2,-,,,,,,,,,,3,-,3,2,1,2244,748,,,,,,,,,
Premier League,Arsenal,2017/18,Premier League|Arsenal|2017/18,Danny Welbeck,Forward,28,5,12,18,16,7,0,Player,3,2,1,2,5,-,2,1,2,-,3,2,-,-,-,-,-,-,,,,,,,,,,1,1,-,-,1,1185,1185,,,,,,,,,
Premier League,Arsenal,2017/18,Premier League|Arsenal|2017/18,Shkodran Mustafi,Defender,27,3,25,5,2,2,0,Player,3,-,3,-,2,1,1,-,2,-,-,-,3,-,-,-,-,-,,,,,,,,,,6,-,6,4,2,2273,378.83,,,,,,,,,
Premier League,Arsenal,2017/18,Premier League|Arsenal|2017/18,Sead Kolasinac,Midfielder,27,2,25,11,2,6,0,Player,-,2,-,-,2,-,-,2,-,-,2,-,-,-,-,-,-,-,,,,,,,,,,3,2,1,1,2,2151,717,,,,,,,,,
Premier League,Arsenal,2017/18,Premier League|Arsenal|2017/18,Mesut Ozil,Midfielder,26,4,24,3,2,3,0,Player,1,3,1,1,3,1,-,3,1,-,3,1,-,-,-,-,-,-,,,8,11,Alexandre Lacazette,2,,,,4,-,4,1,3,2164,541,,,,,,,,,
Premier League,Arsenal,2017/18,Premier League|Arsenal|2017/18,Alex Iwobi,Forward,26,3,22,14,4,17,0,Player,1,2,-,1,3,-,2,1,-,-,3,-,-,-,-,-,-,-,,,,,,,,,,1,-,1,1,-,1843,1843,,,,,,,,,
Premier League,Arsenal,2017/18,Premier League|Arsenal|2017/18,Henrikh Mkhitaryan,Midfielder,26,3,20,7,6,15,0,Player,-,3,-,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Premier League,Arsenal,2017/18,Premier League|Arsenal|2017/18,Laurent Koscielny,Defender,25,2,25,1,0,2,0,Player,2,-,-,-,2,-,1,-,1,-,-,-,-,-,-,-,2,-,,,,,,,,,,4,1,3,2,2,2227,556.75,,,,,,,,,
Premier League,Arsenal,2017/18,Premier League|Arsenal|2017/18,Aaron Ramsey,Midfielder,24,7,21,3,3,5,0,Player,2,5,1,3,6,1,6,1,-,-,7,-,-,-,-,-,-,-,1848,264,8,11,Alexandre Lacazette,4,,,1,,,,,,,,,,,,,,,,
Premier League,Arsenal,2017/18,Premier League|Arsenal|2017/18,Jack Wilshere,Midfielder,20,1,12,14,8,2,0,Player,-,1,1,-,1,-,-,1,-,-,-,-,-,-,-,-,1,-,,,,,,,,,,6,2,4,2,4,1187,197.83,,,,,,,,,
Premier League,Arsenal,2017/18,Premier League|Arsenal|2017/18,Ainsley Maitland-Niles,Midfielder,15,0,8,18,7,0,0,Player,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-,1,1,-,907,907,,,,,,,,,
Premier League,Arsenal,2017/18,Premier League|Arsenal|2017/18,Pierre Emerick Aubameyang,Forward,13,10,12,1,1,2,0,Player,5,5,3,3,7,3,7,3,-,-,8,-,-,-,-,1,1,-,1058,106,,,,,,,,,,,,,,,,,,,,,,,
Premier League,Arsenal,2017/18,Premier League|Arsenal|2017/18,Mohamed Elneny,Midfielder,13,0,11,13,2,5,0,Player,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,2,1,2,870,290,1,1,-,-,1,1,-,870,870
Premier League,Arsenal,2017/18,Premier League|Arsenal|2017/18,Calum Chambers,Defender,12,0,10,9,2,5,0,Player,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,-,-,1,869,869,,,,,,,,,
Premier League,Arsenal,2017/18,Premier League|Arsenal|2017/18,Rob Holding,Defender,12,0,9,9,3,1,0,Player,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,-,3,1,2,820,273.33,,,,,,,,,
Premier League,Arsenal,2017/18,Premier League|Arsenal|2017/18,Francis Coquelin,Midfielder,7,0,1,18,6,1,0,Player,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Premier League,Arsenal,2017/18,Premier League|Arsenal|2017/18,Per Mertesacker,Defender,6,1,4,18,2,1,0,Player,1,-,1,-,-,1,-,-,1,-,-,-,-,-,-,-,1,-,,,,,,,,,,,,,,,,,,,,,,,,,
Premier League,Arsenal,2017/18,Premier League|Arsenal|2017/18,David Ospina,Goalkeeper,5,0,4,30,1,0,0,Player,,,,,,,,,,,,,,,,,,,,,,,,,2,0.5,,,,,,,,,,,,,,,,,
Premier League,Arsenal,2017/18,Premier League|Arsenal|2017/18,Konstantinos Mavropanos,Defender,3,0,3,0,0,0,0,Player,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,195,-,1,1,-,1,-,-,1,345,345
Premier League,Arsenal,2017/18,Premier League|Arsenal|2017/18,Reiss Nelson,Midfielder,3,0,2,5,1,2,0,Player,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Premier League,Arsenal,2017/18,Premier League|Arsenal|2017/18,Eddie Nketiah,Forward,3,0,0,11,3,0,0,Player,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Premier League,Arsenal,2017/18,Premier League|Arsenal|2017/18,Joseph Willock,Midfielder,2,0,1,4,1,1,0,Player,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Premier League,Arsenal,2017/18,Premier League|Arsenal|2017/18,Mathieu Debuchy,Defender,0,0,0,1,0,0,0,Player,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Premier League,Arsenal,2017/18,Premier League|Arsenal|2017/18,Matt Macey,Goalkeeper,0,0,0,7,0,0,0,Player,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Premier League,Arsenal,2017/18,Premier League|Arsenal|2017/18,Jordi Osei-Tutu,Defender,0,0,0,2,0,0,0,Player,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Premier League,Burnley,2017/18,Premier League|Burnley|2017/18,,,,35,,,,,,Team,,,,,,,,,,,19,10,3,1,-,-,2,-,,,,,,,,,,,,,,,,,,,,,,,,,
Premier League,Burnley,2017/18,Premier League|Burnley|2017/18,Jack Cork,Midfielder,38,2,38,0,0,0,0,Player,1,1,1,1,1,1,-,-,2,-,-,1,1,-,-,-,-,-,,,,,,,,,,7,2,5,3,4,3420,488.57,,,,,,,,,
Premier League,Burnley,2017/18,Premier League|Burnley|2017/18,Ashley Barnes,Forward,36,9,21,16,15,7,0,Player,3,6,6,3,5,4,7,1,1,-,6,2,1,-,-,-,-,-,2157,240,,,,,,,,10,2,8,4,6,2157,215.7,,,,,,,,,
Premier League,Burnley,2017/18,Premier League|Burnley|2017/18,Nick Pope,Goalkeeper,35,0,34,4,1,0,0,Player,,,,,,,,,,,,,,,,,,,,,,,,,11,0.3235,,3,-,3,-,3,3114,1038,,,,,,,,,
Premier League,Burnley,2017/18,Premier League|Burnley|2017/18,Johann Berg Gudmundsson,Midfielder,35,2,32,4,3,9,0,Player,-,2,-,1,2,-,-,1,1,-,-,2,-,-,-,-,-,-,,,8,23,Chris Wood,2,,,,2,1,1,1,1,2839,1419.5,,,,,,,,,
Premier League,Burnley,2017/18,Premier League|Burnley|2017/18,Jeff Hendrick,Midfielder,34,2,29,6,5,16,0,Player,1,1,2,2,1,1,2,-,-,-,1,1,-,-,-,-,-,-,,,,,,,,,,1,-,1,-,1,2342,2342,,,,,,,,,
Premier League,Burnley,2017/18,Premier League|Burnley|2017/18,James Tarkowski,Defender,31,0,31,0,0,0,0,Player,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3,2,3,2,2790,558,,,,,,,,,
Premier League,Burnley,2017/18,Premier League|Burnley|2017/18,Sam Vokes,Forward,30,4,7,30,23,3,0,Player,2,2,2,1,-,4,2,-,2,-,-,3,1,-,-,-,-,-,,,,,,,,,,2,-,2,-,2,978,489,,,,,,,,,
Premier League,Burnley,2017/18,Premier League|Burnley|2017/18,Ben Mee,Defender,29,0,29,0,0,0,0,Player,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1,4,2,3,2610,522,,,,,,,,,
Premier League,Burnley,2017/18,Premier League|Burnley|2017/18,Stephen Ward,Defender,28,1,28,1,0,2,0,Player,1,-,-,-,-,1,-,1,-,-,1,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,
Premier League,Burnley,2017/18,Premier League|Burnley|2017/18,Matthew Lowton,Defender,26,0,25,9,1,0,0,Player,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-,1,-,1,2294,2294,,,,,,,,,
Premier League,Burnley,2017/18,Premier League|Burnley|2017/18,Steven Defour,Midfielder,24,1,24,0,0,12,0,Player,1,-,-,-,-,1,1,-,-,-,-,-,-,1,-,-,-,-,,,,,,,,,,7,5,2,5,2,2009,287,,,,,,,,,
Premier League,Burnley,2017/18,Premier League|Burnley|2017/18,Chris Wood,Forward,24,10,20,5,4,13,0,Player,4,6,4,5,5,5,5,2,3,-,8,1,-,-,-,-,1,-,1633,163,,,,,,,,1,-,1,1,-,1633,1633,,,,,,,,,
Premier League,Burnley,2017/18,Premier League|Burnley|2017/18,Ashley R Westwood,Midfielder,19,0,12,26,7,2,0,Player,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,1,1,1106,553,,,,,,,,,
Premier League,Burnley,2017/18,Premier League|Burnley|2017/18,Scott Arfield,Midfielder,18,2,15,11,3,6,0,Player,2,-,2,1,1,1,1,1,-,-,2,-,-,-,-,-,-,-,,,,,,,,,,3,2,1,1,2,1336,445.33,,,,,,,,,
Premier League,Burnley,2017/18,Premier League|Burnley|2017/18,Kevin Long,Defender,16,1,16,22,0,0,1,Player,1,-,-,-,1,-,-,-,1,-,-,-,-,-,-,-,1,-,,,,,,,,,,1,1,-,1,-,1440,1440,,,,,,,,,
Premier League,Burnley,2017/18,Premier League|Burnley|2017/18,Robert Brady,Midfielder,15,1,15,0,0,2,0,Player,-,1,-,-,-,1,1,-,-,-,1,-,-,-,-,-,-,-,,,,,,,,,,3,2,1,2,1,1279,426.33,,,,,,,,,
Premier League,Burnley,2017/18,Premier League|Burnley|2017/18,Philip Bardsley,Defender,13,0,13,20,0,1,0,Player,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,-,5,2,3,1126,225.2,,,,,,,,,
Premier League,Burnley,2017/18,Premier League|Burnley|2017/18,Charlie Taylor,Defender,11,0,10,19,1,0,0,Player,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,2,-,3,949,316.33,,,,,,,,,
Premier League,Burnley,2017/18,Premier League|Burnley|2017/18,Nahki Wells,Forward,9,0,0,20,9,0,0,Player,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Premier League,Burnley,2017/18,Premier League|Burnley|2017/18,Tom Heaton,Goalkeeper,4,0,4,7,0,1,0,Player,,,,,,,,,,,,,,,,,,,,,,,,,1,0.25,,,,,,,,,,,,,,,,,
Premier League,Burnley,2017/18,Premier League|Burnley|2017/18,Jonathan Walters,Forward,3,0,0,10,3,0,0,Player,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Premier League,Burnley,2017/18,Premier League|Burnley|2017/18,Dwight McNeil,Forward,1,0,0,1,1,0,0,Player,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Premier League,Burnley,2017/18,Premier League|Burnley|2017/18,Adam Legzdins,Goalkeeper,0,0,0,2,0,0,0,Player,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Premier League,Burnley,2017/18,Premier League|Burnley|2017/18,Dean Marney,Midfielder,0,0,0,11,0,0,0,Player,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Premier League,Burnley,2017/18,Premier League|Burnley|2017/18,Aiden O'Neill,Midfielder,0,0,0,2,0,0,0,Player,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Premier League,Burnley,2017/18,Premier League|Burnley|2017/18,Anders Lindegaard,Goalkeeper,0,0,0,25,0,0,0,Player,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Premier League,Burnley,2017/18,Premier League|Burnley|2017/18,Fredrik Ulvestad,Midfielder,0,0,0,3,0,0,0,Player,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Premier League,Everton,2017/18,Premier League|Everton|2017/18,,,,42,,,,,,Team,,,,,,,,,,,29,5,-,-,-,5,3,-,,,,,,,,,,,,,,,,,,,,,,,,,
Premier League,Everton,2017/18,Premier League|Everton|2017/18,Jordan Pickford,Goalkeeper,38,0,38,0,0,0,0,Player,,,,,,,,,,,,,,,,,,,,,,,,,10,0.2632,,,,,,,,,,,,,,,,,
Premier League,Everton,2017/18,Premier League|Everton|2017/18,Idrissa Gana Gueye,Midfielder,33,2,32,2,1,7,0,Player,-,2,-,1,-,2,2,-,-,-,2,-,-,-,-,-,-,-,,,,,,,,,,7,3,4,3,4,2757,393.86,1,-,1,-,1,1,-,2757,2757
Premier League,Everton,2017/18,Premier League|Everton|2017/18,Tom Davies,Midfielder,33,2,20,15,13,12,0,Player,-,2,-,1,2,-,1,1,-,-,2,-,-,-,-,-,-,-,,,,,,,,,,7,3,4,4,3,1899,271.29,,,,,,,,,
Premier League,Everton,2017/18,Premier League|Everton|2017/18,Dominic Calvert-Lewin,Midfielder,32,4,18,15,14,5,0,Player,1,3,-,1,3,1,1,1,2,-,2,1,-,-,-,-,1,-,,,,,,,,,,4,2,2,2,2,1873,468.25,,,,,,,,,
Premier League,Everton,2017/18,Premier League|Everton|2017/18,Wayne Rooney,Forward,31,10,27,7,4,20,0,Player,6,4,5,5,6,4,7,1,2,-,6,1,-,-,-,3,-,-,2284,228,,,,,,,1,5,1,4,2,3,2284,456.8,,,,,,,,,
Premier League,Everton,2017/18,Premier League|Everton|2017/18,Michael Keane,Defender,30,0,29,5,1,2,0,Player,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,2,2,1,2561,853.67,,,,,,,,,
Premier League,Everton,2017/18,Premier League|Everton|2017/18,Morgan Schneiderlin,Midfielder,30,0,24,10,6,4,0,Player,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2,3,3,2,2124,424.8,1,-,1,-,1,-,1,2124,2124
Premier League,Everton,2017/18,Premier League|Everton|2017/18,Aaron Lennon,Midfielder,29,0,22,7,7,14,0,Player,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Premier League,Everton,2017/18,Premier League|Everton|2017/18,Gylfi Sigurdsson,Midfielder,27,4,25,4,2,5,0,Player,1,3,2,-,3,1,4,-,-,-,4,-,-,-,-,-,-,-,,,,,,,,,,2,2,-,1,1,2262,1131,,,,,,,,,
Premier League,Everton,2017/18,Premier League|Everton|2017/18,Philip Jagielka,Defender,25,0,23,7,2,2,0,Player,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,-,2,2065,1032.5,,,,,,,,,
Premier League,Everton,2017/18,Premier League|Everton|2017/18,Ashley Williams,Defender,24,1,20,9,4,3,0,Player,-,1,-,1,1,-,-,-,1,-,-,-,-,-,-,-,1,-,,,,,,,,,,3,2,1,2,1,1833,611,1,1,-,-,1,-,1,1841,1841
Premier League,Everton,2017/18,Premier League|Everton|2017/18,Leighton Baines,Defender,22,2,22,1,0,2,0,Player,1,1,-,1,1,1,-,2,-,-,-,-,-,-,-,2,-,-,,,,,,,,,,1,-,1,1,-,1911,1911,,,,,,,,,
Premier League,Everton,2017/18,Premier League|Everton|2017/18,Oumar Niasse,Forward,22,8,10,20,12,6,0,Player,1,7,-,3,6,2,4,2,1,1,7,-,-,-,-,-,1,-,1081,135,,,,,,,,2,1,1,1,1,1081,540.5,,,,,,,,,
Premier League,Everton,2017/18,Premier League|Everton|2017/18,Cuco Martina,Defender,21,0,20,15,1,1,0,Player,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,2,-,1830,915,,,,,,,,,
Premier League,Everton,2017/18,Premier League|Everton|2017/18,Theo Walcott,Forward,20,3,13,17,7,2,0,Player,2,1,2,1,3,-,3,-,-,-,2,1,-,-,-,-,-,-,,,,,,,,,,2,1,1,2,-,1215,607.5,,,,,,,,,
Premier League,Everton,2017/18,Premier League|Everton|2017/18,Jonjoe Kenny,Defender,19,0,17,7,2,0,0,Player,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,2,-,1588,794,,,,,,,,,
Premier League,Everton,2017/18,Premier League|Everton|2017/18,Yannick Bolasie,Midfielder,16,1,11,9,5,9,0,Player,-,1,-,1,1,-,1,-,-,-,1,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,
Premier League,Everton,2017/18,Premier League|Everton|2017/18,Mason Holgate,Defender,15,0,13,14,2,0,0,Player,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,2,2,1,1182,394,,,,,,,,,
Premier League,Everton,2017/18,Premier League|Everton|2017/18,Cenk Tosun,Forward,14,5,12,4,2,7,0,Player,2,3,4,2,1,4,2,1,2,-,3,2,-,-,-,-,-,-,991,198,,,,,,,,,,,,,,,,,,,,,,,
Premier League,Everton,2017/18,Premier League|Everton|2017/18,Seamus Coleman,Defender,12,0,12,0,0,1,0,Player,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Premier League,Everton,2017/18,Premier League|Everton|2017/18,Nikola Vlasic,Midfielder,12,0,7,10,5,4,0,Player,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Premier League,Everton,2017/18,Premier League|Everton|2017/18,Eliaquim Mangala,Defender,11,0,6,20,5,1,0,Player,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Premier League,Everton,2017/18,Premier League|Everton|2017/18,Sandro Ramirez,Forward,8,0,3,9,5,3,0,Player,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Premier League,Everton,2017/18,Premier League|Everton|2017/18,Beni Baningime,Midfielder,8,0,1,13,7,1,0,Player,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-,1,-,1,192,192,,,,,,,,,
Premier League,Everton,2017/18,Premier League|Everton|2017/18,Davy Klaassen,Forward,7,0,3,9,4,3,0,Player,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Premier League,Everton,2017/18,Premier League|Everton|2017/18,Ademola Lookman,Forward,7,0,1,16,6,1,0,Player,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Premier League,Everton,2017/18,Premier League|Everton|2017/18,Kevin Mirallas,Forward,5,0,2,6,3,2,0,Player,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-,1,-,1,137,137,,,,,,,,,
Premier League,Everton,2017/18,Premier League|Everton|2017/18,James McCarthy,Midfielder,4,0,3,1,1,3,0,Player,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Premier League,Everton,2017/18,Premier League|Everton|2017/18,Ramiro Funes Mori,Defender,4,0,1,6,3,1,0,Player,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,-,-,1,119,119,,,,,,,,,
Premier League,Everton,2017/18,Premier League|Everton|2017/18,Muhamed Besic,Midfielder,2,0,0,6,2,0,0,Player,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Premier League,Everton,2017/18,Premier League|Everton|2017/18,Joel Robles,Goalkeeper,0,0,0,30,0,0,0,Player,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Premier League,Everton,2017/18,Premier League|Everton|2017/18,Maarten Stekelenburg,Goalkeeper,0,0,0,8,0,0,0,Player,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Premier League,Everton,2017/18,Premier League|Everton|2017/18,Luke Garbutt,Defender,0,0,0,1,0,0,0,Player,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Premier League,Leicester City,2017/18,Premier League|Leicester City|2017/18,,,,53,,,,,,Team,,,,,,,,,,,30,8,1,1,-,5,8,-,,,,,,,,,,,,,,,,,,,,,,,,,
Premier League,Leicester City,2017/18,Premier League|Leicester City|2017/18,Harry Maguire,Defender,38,2,38,0,0,0,0,Player,-,2,-,2,2,-,1,-,1,-,1,-,-,-,-,-,1,-,,,,,,,,,,8,2,6,4,4,3420,427.5,,,,,,,,,
Premier League,Leicester City,2017/18,Premier League|Leicester City|2017/18,Jamie Vardy,Forward,37,20,37,0,0,11,0,Player,10,10,7,7,9,11,12,5,3,-,10,3,1,-,-,5,1,-,3258,163,,,,,,,,3,1,2,1,2,3258,1086,,,,,,,,,
Premier League,Leicester City,2017/18,Premier League|Leicester City|2017/18,Riyad Mahrez,Midfielder,36,12,34,2,2,12,0,Player,5,7,3,4,6,6,1,10,1,-,10,1,-,1,-,-,-,-,2961,247,10,19,Jamie Vardy,7,,,,2,-,2,2,-,2961,1480.5,,,,,,,,,
Premier League,Leicester City,2017/18,Premier League|Leicester City|2017/18,Demarai Gray,Midfielder,35,3,17,21,18,11,0,Player,2,1,1,2,2,1,2,1,-,-,3,-,-,-,-,-,-,-,,,,,,,,,,2,1,1,-,2,1689,844.5,,,,,,,,,
Premier League,Leicester City,2017/18,Premier League|Leicester City|2017/18,Marc Albrighton,Midfielder,34,2,30,5,4,10,0,Player,1,1,1,1,1,1,2,-,-,-,2,-,-,-,-,-,-,-,,,7,13,Riyad Mahrez,2,,,,4,2,2,4,-,2545,636.25,1,1,-,-,1,-,1,2613,2613
Premier League,Leicester City,2017/18,Premier League|Leicester City|2017/18,Wilfred Ndidi,Midfielder,33,0,33,0,0,1,0,Player,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2,6,3,5,2928,366,2,-,2,-,2,1,1,2928,1464
Premier League,Leicester City,2017/18,Premier League|Leicester City|2017/18,Kasper Schmeichel,Goalkeeper,33,0,33,0,0,1,1,Player,,,,,,,,,,,,,,,,,,,,,,,,,8,0.2424,,2,-,2,1,1,2966,1483,,,,,,,,,
Premier League,Leicester City,2017/18,Premier League|Leicester City|2017/18,Wes Morgan,Defender,32,0,32,1,0,1,0,Player,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2,2,2,2,2818,704.5,,,,,,,,,
Premier League,Leicester City,2017/18,Premier League|Leicester City|2017/18,Danny Simpson,Defender,28,0,27,3,1,7,0,Player,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,-,4,2,2,2312,578,,,,,,,,,
Premier League,Leicester City,2017/18,Premier League|Leicester City|2017/18,Shinji Okazaki,Forward,27,6,17,12,10,15,0,Player,4,2,2,1,2,4,5,-,1,-,2,1,-,-,-,-,3,-,1330,222,,,,,,,,2,-,2,-,2,1330,665,,,,,,,,,
Premier League,Leicester City,2017/18,Premier League|Leicester City|2017/18,Christian Fuchs,Defender,25,0,21,15,4,1,1,Player,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,-,-,1,1917,1917,,,,,,,,,
Premier League,Leicester City,2017/18,Premier League|Leicester City|2017/18,Ben Chilwell,Defender,24,0,20,12,4,3,0,Player,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,-,2,-,2,1852,926,1,-,1,-,1,-,1,1852,1852
Premier League,Leicester City,2017/18,Premier League|Leicester City|2017/18,Kelechi Iheanacho,Forward,21,3,7,25,14,7,0,Player,1,2,1,-,1,2,-,2,1,-,1,1,-,-,-,-,1,-,,,,,,,,,,2,-,2,1,1,822,411,,,,,,,,,
Premier League,Leicester City,2017/18,Premier League|Leicester City|2017/18,Vicente Iborra,Midfielder,19,3,17,12,2,7,0,Player,1,2,2,1,-,3,-,1,2,-,-,1,-,-,-,-,2,-,,,,,,,,,,,,,,,,,,,,,,,,,
Premier League,Leicester City,2017/18,Premier League|Leicester City|2017/18,Islam Slimani,Forward,16,1,3,20,13,2,0,Player,-,1,-,-,1,-,1,-,-,-,1,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,
Premier League,Leicester City,2017/18,Premier League|Leicester City|2017/18,Fousseni Diabate,Midfielder,14,0,5,10,9,4,0,Player,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,-,1,-,582,582,,,,,,,,,
Premier League,Leicester City,2017/18,Premier League|Leicester City|2017/18,Matthew James,Midfielder,13,0,11,4,2,4,0,Player,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,-,2,995,497.5,,,,,,,,,
Premier League,Leicester City,2017/18,Premier League|Leicester City|2017/18,Adrien Silva,Midfielder,12,0,9,6,3,4,0,Player,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,-,3,1,2,762,254,,,,,,,,,
Premier League,Leicester City,2017/18,Premier League|Leicester City|2017/18,Aleksander Dragovic,Defender,11,0,7,22,4,1,0,Player,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,1,1,766,383,,,,,,,,,
Premier League,Leicester City,2017/18,Premier League|Leicester City|2017/18,Daniel Amartey,Midfielder,8,0,6,13,2,2,0,Player,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-,1,1,-,488,488,1,-,1,-,1,1,-,488,488
Premier League,Leicester City,2017/18,Premier League|Leicester City|2017/18,Hamza Choudhury,Midfielder,8,0,4,4,4,2,0,Player,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-,1,-,1,376,376,,,,,,,,,
