Player Name,Accurate Long Balls,Aerial Battles Lost,Aerial Battles Won,Appearances,Assists,Attack,Big Chances Created,Big Chances Missed,Blocked Shots,Catches,Clean Sheets,Clearances,Clearances Off Line,Club,Cross Accuracy %,Crosses,Defence,Discipline,Duels Lost,Duels Won,Errors Leading To Goal,Fouls,Goal Kicks,Goalkeeping,Goals,Goals Conceded,Goals From Freekick,Goals Per Match,Goals With Header,Goals With Left Foot,Goals With Right Foot,Headed Clearance,High Claims,Hit Woodwork,Interceptions,Last Man Tackles,Losses,Offsides,Own Goals,Passes,Passes Per Match,Penalties Saved,Penalties Scored,Position,Punches,Recoveries,Red Cards,Saves,Shooting Accuracy %,Shots,Shots On Target,Successful 50/50s,Sweeper Clearances,Tackle Success %,Tackles,Team Play,Through Balls,Throw Outs,Wins,Yellow Cards
Orestis Karnezis,0,0,0,0,0,0,0,0,0,0,0,,0,Watford,,,,,,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Goalkeeper,0,,0,0,,0,0,0,0,,0,,0,0,0,0
Beram Kayal,0,0,0,0,0,,0,0,0,0,0,0,0,Brighton and Hove Albion,0,0,,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Midfielder,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
Michael Keane,201,116,241,62,2,,1,0,10,0,13,459,1,Everton,50,4,,,167,323,0,19,,0,2,86,0,0,1,0,1,315,0,1,115,1,30,1,0,2013,32.47,0,0,Defender,0,244,0,0,,0,0,9,0,81,58,,1,0,17,5
Martin Kelly,110,106,146,107,4,,1,0,6,0,18,420,0,Crystal Palace,16,182,,,366,480,5,96,,0,0,124,0,0,0,0,0,204,0,2,117,0,46,1,0,2588,24.19,0,0,Defender,0,358,0,0,,0,0,25,0,76,275,,2,0,39,11
Kenedy,8,8,6,16,0,,1,0,6,0,0,6,0,Chelsea,7,14,,,59,59,0,8,,0,1,0,0,0.06,0,1,0,1,0,0,15,0,6,2,0,319,19.94,0,0,Forward,0,51,0,0,19,16,3,27,0,41,17,,2,0,5,0
Jonjoe Kenny,1,1,1,2,0,,0,0,1,0,0,4,0,Everton,4,4,,,4,2,0,1,,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,31,15.5,0,0,Defender,0,2,0,0,,0,0,0,0,100,1,,0,0,1,0
Ryan Kent,0,0,0,0,0,,0,0,0,0,0,0,0,Barnsley,0,0,,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Midfielder,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
Ki Sung-yueng,492,118,112,141,6,,7,6,33,0,0,167,0,Swansea City,30,105,,,448,494,0,107,,0,13,0,0,0.09,2,4,6,87,0,2,166,0,63,9,0,6396,45.36,0,1,Midfielder,0,697,0,0,35,139,49,70,0,78,176,,19,0,42,17
Kiko Femenía,7,4,3,4,1,,0,0,0,0,2,7,0,Watford,13,8,,,10,17,0,2,,0,0,3,0,0,0,0,0,4,0,0,11,0,0,0,0,125,31.25,0,0,Defender,0,16,0,0,,0,0,0,0,50,4,,0,0,2,0
Joshua King,,0,0,72,4,,9,6,35,0,0,53,0,AFC Bournemouth,,68,,,,,0,101,,0,22,0,0,0.31,0,5,17,35,0,4,29,0,37,21,0,1259,17.49,0,2,Forward,0,,0,0,41,130,53,0,0,,83,,0,0,20,2
Stephen Kingsley,25,16,10,17,1,,1,0,0,0,3,44,0,Hull City,27,64,,,37,49,0,5,,0,0,23,0,0,0,0,0,17,0,0,9,0,7,0,1,544,32,0,0,Defender,0,78,0,0,,0,0,12,0,71,17,,0,0,6,0
Davy Klaassen,0,2,0,3,0,,0,0,0,0,0,1,0,Everton,1,1,,,6,3,0,3,,0,0,0,0,3,0,0,0,0,0,0,1,0,1,1,0,48,16,0,0,Midfielder,0,6,0,0,100,1,1,0,0,50,2,,0,0,1,0
Ragnar Klavan,56,38,46,23,0,,0,0,1,0,4,104,0,Liverpool,100,1,,,66,93,1,16,,0,0,25,0,0,0,0,0,52,0,0,17,0,3,0,0,1166,50.7,0,0,Defender,0,102,0,0,,0,0,9,0,77,30,,1,0,14,3
Josh Knight,0,0,0,0,0,,0,0,0,0,0,0,0,Leicester City,0,0,,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Defender,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0
Anthony Knockaert,3,5,6,14,0,,0,1,4,0,0,0,0,Brighton and Hove Albion,19,52,,,47,40,0,8,,0,0,0,0,14,0,0,0,0,0,1,9,0,8,1,0,251,17.93,0,0,Midfielder,0,39,0,0,27,15,4,14,0,90,10,,1,0,2,0
Aleksandar Kolarov,337,153,241,165,20,,25,0,73,0,46,459,0,Roma,27,698,,,567,778,1,139,,0,11,133,0,0,0,10,1,251,0,7,221,2,33,16,1,6744,40.87,0,0,Defender,0,760,1,0,,0,0,100,0,75,261,,13,0,103,25
Sead Kolasinac,3,3,7,4,2,,2,0,1,0,2,11,0,Arsenal,17,6,,,18,21,0,9,,0,0,4,0,0,0,0,0,4,0,0,3,0,1,0,0,230,57.5,0,0,Defender,0,25,0,0,,0,0,2,0,100,9,,0,0,2,1
Vincent Kompany,932,197,412,234,7,,10,0,38,0,84,1424,2,Manchester City,27,26,,,701,1127,2,289,,0,16,200,0,0,9,1,5,516,0,4,493,6,47,1,3,11216,47.93,0,0,Defender,0,1316,3,0,,0,0,92,0,76,517,,28,0,139,49
Laurent Koscielny,528,392,573,216,2,,3,0,14,0,81,1292,1,Arsenal,23,31,,,706,1139,2,179,,0,17,210,0,0,6,0,11,580,0,2,625,22,41,8,2,9587,44.38,0,0,Defender,0,1291,5,0,,0,0,47,0,74,374,,7,0,126,27
Cheikhou Kouyaté,119,174,271,99,4,,2,6,18,0,0,271,0,West Ham United,16,63,,,534,717,1,129,,0,10,0,0,0.1,4,0,6,170,0,6,218,0,34,5,0,3287,33.2,0,0,Midfielder,0,606,1,0,36,101,36,77,0,72,251,,1,0,33,13
Tim Krul,1245,0,0,157,2,0,0,0,0,85,41,,0,Brighton and Hove Albion,,,,,,,15,2,1377,,0,241,0,0,0,0,0,0,212,0,0,0,69,0,0,3932,25.04,2,0,Goalkeeper,90,,0,453,,0,0,0,177,,0,,0,581,55,5
Grzegorz Krychowiak,6,0,6,2,0,,0,0,0,0,0,5,0,West Bromwich Albion,0,0,,,4,15,0,3,,0,0,0,0,2,0,0,0,5,0,0,3,0,1,0,0,92,46,0,0,Midfielder,0,15,0,0,2,2,0,2,0,100,3,,0,0,0,0
Alexandre Lacazette,,0,0,5,0,,1,2,1,0,0,2,0,Arsenal,,3,,,,,0,4,,0,2,0,0,0.4,1,0,1,0,0,0,1,0,2,5,0,106,21.2,0,0,Forward,0,,0,0,63,8,5,0,0,,3,,0,0,2,0
Adam Lallana,133,215,102,156,27,,24,22,81,0,0,118,0,Liverpool,20,470,,,967,789,0,127,,0,29,0,0,0.19,1,15,11,44,0,7,154,0,46,55,0,5588,35.82,0,0,Midfielder,0,764,0,0,37,253,93,192,0,79,284,,44,0,65,14
Erik Lamela,53,77,22,85,18,,20,8,46,0,0,18,0,Tottenham Hotspur,28,272,,,578,420,0,134,,0,8,0,0,0.09,1,6,0,7,0,5,81,0,20,23,0,2603,30.62,0,0,Midfielder,0,363,0,0,33,123,41,119,0,75,183,,23,0,42,17
Manuel Lanzini,73,25,8,62,4,,8,5,31,0,0,15,0,West Ham United,27,117,,,253,297,0,30,,0,14,0,1,0.23,0,3,11,3,0,2,69,0,22,13,0,2711,43.73,0,2,Midfielder,0,390,0,0,27,118,32,145,0,73,77,,9,0,23,12
Jamaal Lascelles,38,25,56,23,0,,0,0,0,0,5,107,1,Newcastle United,3,3,,,45,81,1,13,,0,4,26,0,0,4,0,0,65,0,0,32,1,12,0,0,619,26.91,0,0,Defender,0,77,1,0,,0,0,3,0,53,17,,0,0,6,2
Tom Lawrence,,0,0,4,0,,0,0,3,0,0,0,0,Derby County,,1,,,,,0,2,,0,0,0,0,4,0,0,0,0,0,0,3,0,1,0,0,68,17,0,0,Forward,0,,0,0,5,5,0,0,0,,2,,0,0,2,0
Achraf Lazaar,0,0,0,0,0,,0,0,0,0,0,0,0,Newcastle,0,0,,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Defender,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0
Lee Chung-yong,48,91,70,100,10,,12,2,10,0,0,46,0,Crystal Palace,32,268,,,403,394,2,49,,0,8,0,0,0.08,1,4,3,13,0,0,126,0,51,9,0,1814,18.14,0,0,Midfielder,0,359,0,0,37,59,22,73,0,77,144,,28,0,28,5
Adam Legzdins,0,0,0,0,0,0,0,0,0,0,0,,0,Burnley,,,,,,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Goalkeeper,0,,0,0,,0,0,0,0,,0,,0,0,0,0
Florian Lejeune,0,1,0,1,0,,0,0,0,0,0,2,0,Newcastle United,0,0,,,1,1,0,0,,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,10,10,0,0,Defender,0,2,0,0,,0,0,0,0,0,0,,0,0,0,0
Jonathan Leko,,0,0,14,2,,1,0,0,0,0,3,0,Bristol City,,13,,,,,0,7,,0,0,0,0,14,0,0,0,0,0,0,6,0,9,1,0,65,4.64,0,0,Forward,0,,0,0,0,0,0,0,0,,9,,0,0,0,0
Mario Lemina,9,5,4,3,0,,0,0,1,0,0,7,0,Southampton,0,0,,,13,17,0,3,,0,0,0,0,3,0,0,0,6,0,0,5,0,0,0,0,167,55.67,0,0,Midfielder,0,29,0,0,3,3,0,3,0,63,8,,0,0,2,0
Aaron Lennon,147,97,23,328,47,,46,9,87,0,0,132,0,Everton,24,915,,,1089,1076,0,115,,0,33,0,0,0.1,0,9,22,14,0,6,205,0,100,39,0,6553,19.98,0,0,Midfielder,0,815,0,0,38,252,95,381,0,77,349,,54,0,146,12
Lewis Cook,28,11,1,6,2,,1,0,1,0,0,2,0,AFC Bournemouth,2,2,,,31,16,0,2,,0,0,0,0,6,0,0,0,0,0,0,7,0,2,0,0,279,46.5,0,0,Midfielder,0,32,0,0,40,5,2,2,0,80,10,,1,0,3,1
Victor Lindelöf,0,0,0,0,0,,0,0,0,0,0,0,0,Manchester United,0,0,,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Defender,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0
Jesse Lingard,27,36,7,55,5,,10,7,22,0,0,20,0,Manchester United,18,50,,,226,149,0,53,,0,5,0,0,0.09,1,0,4,2,0,3,30,0,11,11,0,1479,26.89,0,0,Midfielder,0,151,0,0,38,72,27,43,0,75,56,,15,0,28,7
Jake Livermore,424,105,87,148,7,,9,0,36,0,0,138,0,West Bromwich Albion,17,41,,,515,510,0,152,,0,5,0,0,0.03,0,1,4,53,0,5,197,0,70,2,0,5773,39.01,0,0,Midfielder,0,736,1,0,25,113,28,64,0,73,290,,16,0,48,25
Fernando Llorente,,0,0,34,1,,2,5,7,0,0,36,0,Tottenham Hotspur,,8,,,,,0,51,,0,15,0,0,0.44,8,3,4,26,0,2,2,0,18,12,0,905,26.62,0,0,Forward,0,,0,0,50,52,26,0,0,,18,,0,0,12,2
Hugo Lloris,1005,0,0,175,0,0,0,0,0,76,62,,0,Tottenham Hotspur,,,,,,,11,2,1275,,0,188,0,0,0,0,0,0,174,0,0,0,35,0,0,4263,24.36,2,0,Goalkeeper,128,,0,432,,0,0,0,204,,0,,0,832,100,2
Ruben Loftus-Cheek,18,11,10,25,0,,3,0,8,0,0,10,0,Crystal Palace,33,3,,,70,88,0,10,,0,1,0,0,0.04,0,0,1,7,0,0,15,0,9,1,0,450,18,0,0,Midfielder,0,65,0,0,22,18,4,27,0,65,23,,2,0,8,0
Joe Lolley,0,0,0,0,0,,0,0,0,0,0,0,0,Huddersfield Town,0,0,,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Forward,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
Kevin Long,11,4,9,4,0,,0,0,0,0,0,19,0,Burnley,0,0,,,7,17,0,1,,0,0,7,0,0,0,0,0,8,0,0,4,0,2,0,0,111,27.75,0,0,Defender,0,12,0,0,,0,0,1,0,100,4,,0,0,0,0
Ademola Lookman,,0,0,8,0,,0,1,3,0,0,3,0,Everton,,1,,,,,0,4,,0,1,0,0,0.12,0,0,1,1,0,0,2,0,0,2,0,94,11.75,0,0,Forward,0,,0,0,38,16,6,0,0,,5,,0,0,5,0
Jonas Lössl,54,0,0,5,0,0,0,0,0,1,3,,0,Huddersfield Town,,,,,,,0,0,42,,0,3,0,0,0,0,0,0,3,0,0,0,1,0,0,175,35,0,0,Goalkeeper,1,,0,13,,0,0,0,8,,0,,0,20,2,0
Dejan Lovren,484,182,387,113,2,,1,0,21,0,38,783,0,Liverpool,14,14,,,356,652,5,93,,0,4,123,0,0,2,0,2,454,0,1,218,6,31,3,0,6196,54.83,0,0,Defender,0,519,0,0,,0,0,9,0,73,192,,2,0,53,20
Chris Löwe,14,6,2,5,0,,0,0,0,0,3,12,0,Huddersfield Town,7,15,,,18,18,0,4,,0,0,1,0,0,0,0,0,4,0,0,11,0,1,0,0,198,39.6,0,0,Defender,0,24,0,0,,0,0,1,0,77,13,,0,0,2,0
Matthew Lowton,292,93,121,113,9,,12,0,4,0,19,486,5,Burnley,20,263,,,387,513,0,96,,0,2,173,0,0,0,1,1,188,0,0,225,1,57,1,0,3595,31.81,0,0,Defender,0,439,0,0,,0,0,64,0,70,271,,13,0,30,25
Kazenga Lua Lua,1,0,1,7,0,,0,0,1,0,0,0,0,Queens Park Rangers,40,5,,,7,7,0,1,,0,0,0,0,7,0,0,0,0,0,0,2,0,4,0,0,36,5.14,0,0,Midfielder,0,7,0,0,50,2,1,1,0,67,3,,0,0,0,0
Lucas Leiva,683,371,448,247,14,,8,6,46,0,0,416,0,Lazio,24,82,,,1274,1698,2,410,,0,1,0,0,0,1,0,0,180,0,0,487,0,56,10,0,12162,49.24,0,0,Midfielder,0,1320,1,0,23,151,35,61,0,72,978,,60,0,134,50
Romelu Lukaku,,0,0,191,29,,27,64,140,0,0,70,0,Manchester United,,210,,,,,0,146,,0,90,0,1,0.47,19,44,26,49,0,18,8,0,65,153,0,4529,23.71,0,6,Forward,0,,0,0,45,564,252,0,0,,51,,0,0,78,11
Levi Lumeka,,0,0,1,0,,0,0,1,0,0,0,0,Crystal Palace,,4,,,,,0,0,,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,7,7,0,0,Forward,0,,0,0,1,1,0,0,0,,1,,0,0,0,0
Matt Macey,0,0,0,0,0,0,0,0,0,0,0,,0,Arsenal,,,,,,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Goalkeeper,0,,0,0,,0,0,0,0,,0,,0,0,0,0
Niki Mäenpää,0,0,0,0,0,0,0,0,0,0,0,,0,Brighton and Hove Albion,,,,,,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Goalkeeper,0,,0,0,,0,0,0,0,,0,,0,0,0,0
Harry Maguire,123,45,94,37,3,,2,0,5,0,5,180,0,Leicester City,17,18,,,119,235,0,31,,0,3,65,0,0,2,0,1,130,0,1,81,0,22,3,0,1430,38.65,0,0,Defender,0,197,0,0,,0,0,38,0,73,64,,2,0,9,6
Connor Mahoney,0,0,0,0,0,,0,0,0,0,0,0,0,AFC Bournemouth,0,0,,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Midfielder,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
Riyad Mahrez,151,186,83,108,19,,42,13,77,0,0,34,0,Leicester City,22,436,,,913,712,0,74,,0,27,0,0,0.25,2,21,3,15,0,7,100,0,36,15,0,3019,27.95,0,7,Midfielder,0,609,0,0,40,239,95,300,0,70,135,,40,0,43,5
Ainsley Maitland-Niles,0,0,0,2,0,,0,0,0,0,0,0,0,Arsenal,0,0,,,0,1,0,0,,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,Midfielder,0,2,0,0,0,0,0,0,0,100,1,,0,0,2,0
Scott Malone,0,0,0,1,0,,0,0,0,0,0,4,0,Huddersfield Town,2,2,,,0,4,0,0,,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,17,17,0,0,Defender,0,1,0,0,,0,0,3,0,100,1,,0,0,0,0
Steve Mandanda,87,0,0,9,0,0,0,0,0,4,0,,0,Marseille,,,,,,,1,0,70,,0,17,0,0,0,0,0,0,6,0,0,0,4,0,0,262,29.11,0,0,Goalkeeper,5,,0,24,,0,0,0,5,,0,,0,42,3,0
Sadio Mané,72,171,91,98,14,,18,25,54,0,0,31,0,Liverpool,20,163,,,683,622,0,114,,0,37,0,0,0.38,2,10,25,15,0,3,58,0,28,64,0,2932,29.92,0,0,Midfielder,0,461,3,0,42,213,90,209,0,77,120,,16,0,48,14
Eliaquim Mangala,73,60,96,49,2,,1,0,3,0,20,269,0,Manchester City,2,2,,,172,198,1,57,,0,0,45,0,0,0,0,0,122,0,0,106,2,8,0,2,1940,39.59,0,0,Defender,0,244,1,0,,0,0,13,0,80,75,,1,0,33,11
Javier Manquillo,24,32,31,34,0,,2,0,1,0,6,81,0,Newcastle United,16,69,,,106,144,0,21,,0,1,42,0,0,0,0,1,39,0,0,51,0,18,7,0,897,26.38,0,0,Defender,0,103,0,0,,0,0,18,0,67,70,,0,0,9,5
Marc Wilson,561,171,256,181,3,,2,0,36,0,32,946,2,Sunderland,26,168,,,603,738,3,175,,0,1,210,0,0,0,0,1,378,0,5,218,9,82,1,1,5261,29.07,0,0,Defender,0,642,2,0,,0,0,69,0,76,358,,5,0,51,34
Adrian Mariappa,147,145,209,96,1,,1,0,4,0,18,530,6,Watford,23,95,,,332,484,1,67,,0,2,157,0,0,2,0,0,205,0,2,172,3,53,7,0,2409,25.09,0,0,Defender,0,257,0,0,,0,0,25,0,75,194,,2,0,23,16
Lazar Markovic,19,22,9,31,1,,2,4,5,0,0,17,0,Hull City,30,30,,,155,123,0,27,,0,4,0,0,0.13,1,1,3,9,0,3,30,0,11,2,0,771,24.87,0,0,Midfielder,0,133,0,0,29,28,8,41,0,73,44,,6,0,14,4
Dean Marney,241,49,34,96,10,,2,0,28,0,0,83,0,Burnley,31,191,,,317,309,1,110,,0,4,0,0,0.04,0,1,1,26,0,1,137,0,47,3,0,2852,29.71,0,0,Midfielder,0,345,1,0,20,84,17,32,0,71,181,,14,0,23,26
Anthony Martial,,0,0,61,11,,17,4,26,0,0,27,0,Manchester United,,113,,,,,0,69,,0,18,0,0,0.3,1,5,12,13,0,3,18,0,14,23,0,1605,26.31,0,1,Forward,0,,0,0,44,106,47,0,0,,38,,0,0,29,4
Bruno Martins Indi,75,70,65,39,0,,0,0,5,0,10,227,0,Stoke City,43,7,,,112,144,0,26,,0,1,54,0,0,0,1,0,115,0,1,60,1,15,2,0,1210,31.03,0,0,Defender,0,178,0,0,,0,0,7,0,73,63,,0,0,12,5
Brandon Mason,1,0,0,2,0,,0,0,0,0,0,3,0,Watford,0,0,,,3,4,0,3,,0,0,5,0,0,0,0,0,1,0,0,3,0,2,0,0,29,14.5,0,0,Defender,0,6,0,0,,0,0,1,0,100,1,,0,0,0,0
Ntumba Massanka,,0,0,0,0,,0,0,0,0,0,0,0,York City,,0,,,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Forward,0,,0,0,0,0,0,0,0,,0,,0,0,0,0
Arthur Masuaku,32,17,17,14,1,,1,0,1,0,3,30,1,West Ham United,21,33,,,77,104,0,17,,0,0,26,0,0,0,0,0,16,0,0,28,1,9,0,0,492,35.14,0,0,Defender,0,93,0,0,,0,0,30,0,78,45,,0,0,2,1
Mat Ryan,48,0,0,5,0,0,0,0,0,1,1,,0,Brighton and Hove Albion,,,,,,,1,0,52,,0,7,0,0,0,0,0,0,10,0,0,0,3,0,0,139,27.8,0,0,Goalkeeper,1,,0,8,,0,0,0,1,,0,,0,28,1,0
Juan Mata,525,48,16,198,43,,56,25,84,0,0,50,0,Manchester United,24,919,,,740,514,0,106,,0,45,0,6,0.23,2,37,6,4,0,10,114,0,44,73,0,9152,46.22,0,2,Midfielder,0,888,1,0,38,308,116,145,0,74,164,,75,0,105,14
Nemanja Matic,431,162,212,128,17,,10,6,35,0,0,279,0,Manchester United,15,65,,,663,780,0,154,,0,4,0,0,0.03,0,3,1,188,0,2,230,0,19,11,0,7133,55.73,0,0,Midfielder,0,957,2,0,27,100,27,155,0,75,337,,18,0,80,21
Joel Matip,111,44,75,34,0,,0,0,8,0,11,169,1,Liverpool,5,5,,,77,162,1,17,,0,1,34,0,0,1,0,0,89,0,4,61,0,5,1,0,1994,58.65,0,0,Defender,0,178,0,0,,0,0,11,0,75,57,,2,0,19,3
Alfie Mawson,190,59,97,32,0,,1,0,4,0,10,200,0,Swansea City,1,1,,,95,166,1,11,,0,4,50,0,0,3,0,1,111,0,2,30,1,16,0,2,1457,45.53,0,0,Defender,0,166,0,0,,0,0,20,0,81,31,,1,0,11,1
Chancel Mbemba,113,63,62,37,0,,1,0,3,0,8,252,0,Newcastle United,38,13,,,129,187,2,24,,0,0,57,0,0,0,0,0,115,0,0,105,3,17,0,0,1237,33.43,0,0,Defender,0,165,0,0,,0,0,26,0,81,84,,1,0,10,5
James McArthur,407,203,181,176,8,,9,5,41,0,0,178,0,Crystal Palace,19,70,,,824,764,0,211,,0,15,0,0,0.09,5,3,7,55,0,1,259,0,84,7,0,6239,35.45,0,0,Midfielder,0,869,0,0,31,127,40,81,0,77,377,,21,0,55,28
Gareth McAuley,426,285,623,194,3,,4,0,12,0,51,1281,3,West Bromwich Albion,38,13,,,532,1045,4,129,,0,15,258,0,0,12,1,2,687,0,5,324,6,78,6,5,4972,25.63,0,0,Defender,0,692,2,0,,0,0,51,0,73,267,,1,0,59,18
Oliver McBurnie,,0,0,8,0,,0,0,0,0,0,0,0,Barnsley,,1,,,,,0,1,,0,0,0,0,8,0,0,0,0,0,0,0,0,5,0,0,49,6.12,0,0,Forward,0,,0,0,50,2,1,0,0,,1,,0,0,2,0
James McCarthy,778,142,127,218,12,,7,8,62,0,0,349,0,Everton,28,145,,,897,1041,2,271,,0,13,0,0,0.06,0,3,10,123,0,4,388,0,84,2,0,9905,45.44,0,0,Midfielder,0,1119,1,0,27,165,44,112,0,75,578,,23,0,75,38
James McClean,56,230,144,132,9,,13,11,35,0,0,118,0,West Bromwich Albion,22,589,,,844,645,0,127,,0,10,0,1,0.08,2,5,3,42,0,1,113,0,52,19,0,2246,17.02,0,0,Midfielder,0,444,1,0,36,135,49,121,0,75,272,,5,0,38,23
Callum McManaman,6,11,5,46,2,,3,0,7,0,0,14,0,Sunderland,14,59,,,93,108,0,18,,0,2,0,0,0.04,0,1,1,5,0,0,12,0,23,3,0,361,7.85,0,0,Midfielder,0,46,0,0,29,28,8,44,0,90,31,,1,0,9,4
Sam McQueen,11,12,21,15,0,,1,0,0,0,0,25,0,Southampton,11,37,,,29,40,0,3,,0,0,0,0,15,0,0,0,12,0,0,15,0,5,1,0,310,20.67,0,0,Midfielder,0,54,0,0,1,1,0,0,0,75,16,,0,0,5,0
Scott McTominay,2,2,1,2,0,,0,0,0,0,0,3,0,Manchester United,100,1,,,5,3,0,2,,0,0,0,0,2,0,0,0,2,0,0,2,0,1,0,0,57,28.5,0,0,Midfielder,0,8,0,0,100,1,1,0,0,0,0,,0,0,1,1
Ben Mee,253,140,232,72,1,,1,0,4,0,18,526,4,Burnley,13,60,,,265,416,1,53,,0,3,98,0,0,2,0,1,340,0,2,145,2,36,2,2,2419,33.6,0,0,Defender,0,355,0,0,,0,0,19,0,69,115,,0,0,17,16
Max Melbourne,0,0,0,0,0,,0,0,0,0,0,0,0,West Bromwich Albion,0,0,,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Defender,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0
Nampalys Mendy,4,4,4,4,0,,0,0,0,0,0,2,0,Nice,1,1,,,17,18,0,4,,0,0,0,0,4,0,0,0,1,0,0,5,0,2,0,0,95,23.75,0,0,Midfielder,0,12,0,0,0,0,0,4,0,50,2,,0,0,0,1
Mikel Merino,14,7,9,5,0,,1,0,2,0,0,10,0,Newcastle United,0,0,,,29,35,0,7,,0,0,0,0,5,0,0,0,4,0,0,9,0,2,0,0,196,39.2,0,0,Midfielder,0,36,0,0,33,3,1,7,0,85,13,,0,0,3,2
Per Mertesacker,304,166,381,150,1,,1,0,14,0,57,807,1,Arsenal,25,4,,,275,605,3,48,,0,5,151,0,0,5,0,0,415,0,2,255,14,30,3,0,7530,50.2,0,0,Defender,0,722,2,0,,0,0,16,0,74,148,,1,0,86,11
Roque Mesa,0,0,0,1,0,,0,0,0,0,0,0,0,Swansea City,100,1,,,6,0,0,2,,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,36,36,0,0,Midfielder,0,7,0,0,0,0,0,0,0,0,0,,0,0,0,0
Matt Miazga,3,8,7,2,0,,0,0,0,0,1,9,0,Vitesse,0,0,,,10,11,1,1,,0,0,1,0,0,0,0,0,4,0,0,2,0,1,1,0,90,45,0,0,Defender,0,5,0,0,,0,0,0,0,100,3,,0,0,1,1
Simon Mignolet,1285,0,0,230,0,0,0,0,0,110,74,,0,Liverpool,,,,,,,16,2,1904,,0,296,0,0,0,0,0,0,247,0,0,0,68,0,1,5157,22.42,7,0,Goalkeeper,191,,0,644,,0,0,0,148,,0,,0,818,100,5
Luka Milivojevic,48,26,29,18,0,,1,0,5,0,0,24,0,Crystal Palace,38,8,,,89,89,2,29,,0,2,0,0,0.11,0,0,2,14,0,0,42,0,10,0,0,610,33.89,0,2,Midfielder,0,109,0,0,27,15,4,10,0,61,33,,1,0,7,4
James Milner,678,457,285,458,75,,34,0,153,0,81,366,5,Liverpool,23,1986,,,1994,1584,2,373,,0,48,319,0,0,1,8,31,99,0,7,394,3,129,44,1,12699,27.73,0,0,Defender,0,1434,2,0,,0,0,274,0,79,690,,94,0,209,53
Tyrone Mings,28,15,16,10,0,,1,0,0,0,0,47,0,AFC Bournemouth,100,1,,,32,33,0,9,,0,0,20,0,0,0,0,0,21,0,0,9,0,6,0,2,373,37.3,0,0,Defender,0,50,0,0,,0,0,2,0,100,11,,0,0,1,1
Kevin Mirallas,136,106,32,148,20,,22,16,105,0,0,34,0,Everton,27,544,,,650,437,0,117,,0,29,0,3,0.2,2,4,23,13,0,8,49,0,43,59,0,2835,19.16,0,0,Midfielder,0,381,2,0,36,306,110,175,0,76,111,,9,0,59,14
Demetri Mitchell,1,0,0,1,0,,0,0,0,0,1,2,0,Manchester United,50,2,,,3,9,0,0,,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,50,50,0,0,Defender,0,2,0,0,,0,0,2,0,80,5,,1,0,1,0
Aleksandar Mitrovic,,0,0,35,4,,1,9,18,0,0,32,0,Newcastle United,,7,,,,,0,51,,0,10,0,0,0.29,4,2,4,25,0,2,7,0,16,16,0,728,20.8,0,2,Forward,0,,2,0,39,82,32,0,0,,24,,0,0,9,4
Henrikh Mkhitaryan,36,31,15,29,6,,11,2,10,0,0,12,0,Manchester United,19,74,,,169,113,0,24,,0,5,0,0,0.17,0,1,4,4,0,1,26,0,3,9,0,1025,35.34,0,0,Midfielder,0,128,0,0,44,41,18,37,0,77,30,,17,0,15,2
