Player Name,Accurate Long Balls,Aerial Battles Lost,Aerial Battles Won,Appearances,Assists,Attack,Big Chances Created,Big Chances Missed,Blocked Shots,Catches,Clean Sheets,Clearances,Clearances Off Line,Club,Cross Accuracy %,Crosses,Defence,Discipline,Duels Lost,Duels Won,Errors Leading To Goal,Fouls,Goal Kicks,Goalkeeping,Goals,Goals Conceded,Goals From Freekick,Goals Per Match,Goals With Header,Goals With Left Foot,Goals With Right Foot,Headed Clearance,High Claims,Hit Woodwork,Interceptions,Last Man Tackles,Losses,Offsides,Own Goals,Passes,Passes Per Match,Penalties Saved,Penalties Scored,Position,Punches,Recoveries,Red Cards,Saves,Shooting Accuracy %,Shots,Shots On Target,Successful 50/50s,Sweeper Clearances,Tackle Success %,Tackles,Team Play,Through Balls,Throw Outs,Wins,Yellow Cards
Sead Haksabanovic,0,0,0,0,0,,0,0,0,0,0,0,0,West Ham United,0,0,,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Midfielder,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
Ben Hamer,90,0,0,8,0,0,0,0,0,3,3,,0,Leicester City,,,,,,,1,0,69,,0,8,0,0,0,0,0,0,7,0,0,0,4,0,0,271,33.88,0,0,Goalkeeper,8,,0,21,,0,0,0,9,,0,,0,20,3,0
Grant Hanley,37,45,43,31,0,,0,0,4,0,3,197,0,Norwich City,1,1,,,90,107,1,38,,0,1,58,0,0,1,0,0,46,0,0,57,2,19,0,1,609,19.65,0,0,Defender,0,71,0,0,,0,0,1,0,74,54,,0,0,8,7
Rekeem Harper,1,0,0,1,0,,0,0,0,0,0,0,0,West Brom,0,0,,,1,1,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,Midfielder,0,2,0,0,0,0,0,0,0,100,1,,0,0,1,0
Joe Hart,1463,0,0,307,0,0,0,0,0,238,121,,0,West Ham United,,,,,,,16,5,2517,,0,313,0,0,0,0,0,0,386,0,0,0,77,0,0,5769,18.79,5,0,Goalkeeper,255,,0,822,,0,0,0,170,,0,,0,"1,432",164,7
Jakob Haugaard,55,0,0,5,0,0,0,0,0,2,0,,0,Wigan Athletic,,,,,,,0,0,39,,0,11,0,0,0,0,0,0,10,0,0,0,3,0,0,128,25.6,0,0,Goalkeeper,3,,0,11,,0,0,0,5,,0,,0,15,0,0
Isaac Hayden,7,9,5,5,0,,0,0,0,0,0,6,0,Newcastle United,44,9,,,33,20,0,10,,0,0,0,0,5,0,0,0,3,0,0,6,0,2,0,0,139,27.8,0,0,Midfielder,0,17,0,0,50,4,2,1,0,78,9,,0,0,3,3
Eden Hazard,376,140,71,176,35,,40,25,89,0,0,30,0,Chelsea,18,376,,,1032,1251,0,89,,0,57,0,0,0.32,4,13,40,13,0,3,120,0,29,36,0,8478,48.17,0,11,Midfielder,0,833,0,0,42,328,139,609,0,81,118,,45,0,108,11
Tom Heaton,761,0,0,77,0,0,0,0,0,59,20,,0,Burnley,,,,,,,1,0,656,,0,105,0,0,0,0,0,0,78,0,0,0,37,0,1,2222,28.86,3,0,Goalkeeper,28,,0,277,,0,0,0,32,,0,,0,292,20,2
Michael Hefele,0,0,1,1,0,,0,0,0,0,0,2,0,Huddersfield Town,0,0,,,0,1,0,0,,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,Defender,0,0,0,0,,0,0,0,0,0,0,,0,0,1,0
Tomer Hemed,,0,0,5,1,,0,0,1,0,0,2,0,Brighton and Hove Albion,,0,,,,,0,3,,0,1,0,0,0.2,1,0,0,1,0,1,2,0,3,4,0,82,16.4,0,0,Forward,0,,0,0,50,4,2,0,0,,1,,0,0,1,0
Jordan Henderson,826,199,168,255,37,,36,15,80,0,0,289,0,Liverpool,25,675,,,973,889,1,220,,0,24,0,2,0.09,0,5,19,118,0,5,351,0,75,28,0,12435,48.76,0,1,Midfielder,0,1347,1,0,29,296,87,102,0,71,518,,109,0,118,31
